T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
446.6847	106.58539001461504	10.327568405827925	10.335858449694367
421.6965	106.55636801991098	10.32655637472575	10.335865179704228
398.1071	106.52394944007312	10.325420008064148	10.335872981632317
375.8391	106.48775039689602	10.324144064058903	10.33588180443362
354.8134	106.44733481359043	10.322711106646134	10.335891122927215
334.9655	106.40224089471873	10.321102247721056	10.33590072609568
316.2278	106.35194562244168	10.319295914481344	10.335909872466694
298.5382	106.29587752030835	10.317268122401524	10.33591742677355
281.8383	106.23341019921045	10.314992184389286	10.33592139479312
266.0725	106.16385620260755	10.312438313312603	10.335920485903447
251.1887	106.08646494102506	10.309573419651699	10.335910521776931
237.1374	106.00042052201815	10.30636087944975	10.335887441863534
223.8727	105.90484062208729	10.30276032874164	10.335846815746832
211.3489	105.79875357557007	10.298726560343955	10.33577913680633
199.5262	105.68114499635534	10.294211114950176	10.335674463438748
188.3658	105.5509207347113	10.289160715869812	10.335520442461268
177.8279	105.40687345994633	10.283515658607893	10.33530031898719
167.8804	105.2478006600293	10.27721422237183	10.33499212448443
158.4893	105.0723924036846	10.270188046061365	10.33456869058483
149.6236	104.87930457251113	10.26236485765115	10.333995300660092
141.2538	104.66715615309778	10.253668191863223	10.33322604092966
133.3521	104.4345501651627	10.24401809385073	10.332213385771224
125.8925	104.18008572617516	10.23333137482863	10.330903880589211
118.8505	103.90240422950123	10.221523721493684	10.32919483789956
112.2021	103.60020624113078	10.208510681161458	10.32702258671779
105.9254	103.27225962955949	10.194207316801469	10.324268708038579
100.		  102.91756865073596	10.178537112552274	10.320799364088959
94.40609	102.53526673416704	10.16142677049277	10.316491252118201
89.12511	102.12474491675647	10.142812791938812	10.31117905344953
84.1395		101.68569619079693	10.122644262068622	10.304688231467827
79.43282	101.2181818725153	10.100886853643459	10.296829905642971
74.98942	100.7226602827719	10.077525235463078	10.287403880578191
70.79458	100.20004970909945	10.052567282291175	10.276204265085585
66.8344		99.65176018871209	10.026046982261217	10.263025759169164
63.09573	99.07971369528272	9.998026878683284	10.247671707825768
59.56636	98.4863908412818	9.968601885242132	10.2299647447045
56.23413	97.87467251925476	9.937892879603847	10.209752852109531
53.08845	97.248078751867		9.906059973389388	10.186928872802339
50.11873	96.61044181643072	9.873287328668676	10.161432923195937
47.31512	95.96596279611495	9.839786771968031	10.133266400818465
44.66836	95.31909361314898	9.805792294584588	10.10249929857137
42.16965	94.67439614357313	9.771552820574511	10.069274048933961
39.81072	94.03643722101256	9.737326339344097	10.033807298169332
37.58374	93.40964123025435	9.703371306226561	9.99638545303952
35.48133	92.79817185540757	9.669939129300417	9.957356994397678
33.49654	92.20581921554233	9.637266592378724	9.917119487795366
31.62278	91.63589244218191	9.605568313478091	9.876101566329229
29.85389	91.09118118690522	9.575032914205805	9.834745549748504
28.18383	90.57383164080193	9.545814437253362	9.793479741343708
26.60725	90.08552758802321	9.518041129381094	9.752712768770504
25.11886	89.62732994889299	9.491805317528925	9.712803580698882
23.71374	89.19983012823748	9.46717134006823	9.674056872215798
22.38721	88.80318611113668	9.444177263088287	9.636715085577935
21.13489	88.43721994317352	9.422840431534452	9.600963016186462
19.95262	88.10146854737242	9.403160555217163	9.566932295240736
18.83649	87.79525516098525	9.385124106200967	9.53471451892801
17.78279	87.51771682601733	9.368706124205195	9.50437488844818
16.78804	87.26783168185543	9.353871871858018	9.475966626052331
15.84893	87.04440303477519	9.340575746414132	9.449539830500484
14.96235	86.84605295696788	9.328760539992512	9.425147964417189
14.12541	86.67120662501269	9.318355967815812	9.402846241389417
13.33521	86.5180326038173	9.309274520150796	9.382683191325967
12.58925	86.3845181299265	9.301415384164248	9.364703489570253
11.88502	86.26840878473803	9.294660307013665	9.348906891612947
11.22018	86.16729616241068	9.288878518877036	9.335277553812741
10.59254	86.07863983407799	9.283928295123884	9.323733194922621
10.		    85.99987493284426	9.279663334377405	9.314167281090436
8.912509	85.86195263537125	9.272604160863146	9.300213445604165
7.943287	85.73475764236908	9.266598342786615	9.291805583579235
7.079464	85.60258131446218	9.260718678333793	9.28707898850067
6.309576	85.45307878783967	9.254246836054975	9.284464566557105
5.623413	85.27651714245138	9.24663423127085	9.282829758550953
5.011872	85.06455046479934	9.237425690099542	9.281487341809646
4.466839	84.80910155895913	9.226184772540634	9.28005539182286
3.981072	84.50164182973045	9.212441102822822	9.278277757191564
